[60:00] 你們買我的燕黃素果凍
[61:33] 就把它拿出來吃就好了
[61:35] 就把它拿出來吃就好了
[61:36] 來
[61:37] 後面是莓果麥片嗎
[61:38] 後面這個很厲害
[61:39] 這個叫隔日
[61:40] 我有點忘記了
[61:41] 隔日優格
[61:43] 優格哪裡面也是奇牙籽
[61:44] 超紅的
[61:44] 因為這整
[61:45] 這整架都是別人的
[61:47] 沒錯
[61:47] 好不好
[61:48] 都是別人
[61:48] 整架都是人家賣的
[61:49] 等一下我會幫你們介紹
[61:51] 好不好
[61:51] 來
[61:52] 這個呢
[61:52] 要的幫我打
[61:53] A1 2
[61:54] 好不好
[61:55] A1 2加1
[61:56] A1 2加1
[61:57] 來
[61:58] 今天要的朋友
[61:58] 這樣一整袋吃三個月
[62:00] 好不好
[62:01] 一整袋吃三個月
[62:02] 來要的朋友
[62:03] 今天三成價1099
[62:05] 線上價990塊帶回家
[62:07] 990塊
[62:09] 990塊三個月
[62:10] 這個包真的很缺貨
[62:11] 我剛剛網路找
[62:13] 大家都寫
[62:14] 花330塊
[62:15] 大家在那邊寫缺貨
[62:16] 都缺貨啦
[62:16] 對 人家這個包都很缺貨
[62:17] 因為我們今天去的時候
[62:18] 拿樣品的時候
[62:19] 都還一整袋一整落
[62:21] 對
[62:21] 然後我今天要拿回去放的時候
[62:23] 已經完全沒有了
[62:24] 好不好
[62:24] 來
[62:25] 如果你想要呢
[62:25] 一樣來個味覺糖
[62:27] 吃糖果
[62:28] 就可以補充葉黃素
[62:29] 很香耶
[62:30] 我可以吃一顆
[62:31] 吃糖果就可以補充葉黃素
[62:32] 就可以參考這個
[62:33] 然後呢
[62:36] 那小朋友要吃藥
[62:37] 小朋友會吃糖果
[62:39] 會
[62:39] 會咀嚼糖果的
[62:40] 才可以吃
[62:41] 好不好
[62:41] 一天就是兩顆
[62:43] 一天就是兩顆
[62:44] 來
[62:45] 一二加一
[62:46] 今天三成價
[62:47] 990
[62:48] 線上價
[62:49] 線上價是990
[62:50] 三成價1099
[62:52] 好啦
[62:52] 那不用啦
[62:53] 線
[62:53] 三成價990啦
[62:55] 線上價給大家899啦
[62:57] 好不好
[62:58] 線上價899啦
[63:00] 很好吃耶
[63:01] 然後呢
[63:01] 吃三個月
[63:02] 讓你一個月
[63:03] 不用300塊
[63:04] 我的天啊
[63:06] 好不好
[63:06] 那小朋友會跟妳講的
[63:08] 一天只要
[63:08] 一天不用10塊錢
[63:10] 好不好
[63:11] 一天不用10塊錢
[63:12] 很好吃耶
[63:13] 最新的一樣推薦給大家
[63:15] 你們如果有喜歡
[63:16] 有需要
[63:17] 想要補充葉黃素的
[63:18] 從那個
[63:19] 我喜歡
[63:19] 夾心軟糖裡面
[63:21] 去補充葉黃素的
[63:22] 這個就可以加
[63:23] 好不好
[63:24] 來
[63:24] 要的趕快加
[63:25] a12加1
[63:26] 這很好吃
[63:27] 你們也可以記在一起
[63:28] 它好吃
[63:28] 就可以幫你補充的葉黃素
[63:30] 自己加起來
[63:31] 來
[63:31] 再來這個更厲害了
[63:33] 綜合維他命
[63:35] 好不好
[63:36] 綜合維他命
[63:37] 這真的是懶人必備
[63:39] 好不好
[63:39] 懶人必備
[63:41] 它是一樣是
[63:41] 夾連帶包裝
[63:43] 第四磷肉
[63:44] 一樣是跟剛剛一樣
[63:45] 軟糖式的
[63:46] 軟糖式的
[63:47] 我先打開給你們看
[63:48] 然後一樣一天吃兩顆
[63:50] 那裡面有
[63:51] 11種的綜合維他命
[63:53] 好不好
[63:54] 11種的綜合維他命
[63:55] 然後給你們看一下
[63:57] 它是這樣子
[63:58] 它是一樣裡面有夾心
[64:00] 夾在裡面
[64:01] 然後是檸檬口味的
[64:02] 好啦
[64:03] 所以檸檬口味
[64:04] 我來幫你們試一下
[64:07] 檸檬口味的
[64:08] 然後裡面有
[64:09] 維生素A D E B1 B2
[64:11] B6 葉酸
[64:13] 普陶又可味
[64:14] 普陶又可味的
[64:16] B
[64:17] 我再講一次
[64:18] B1 B
[64:19] 怎樣
[64:20] 維他命A 維他命D
[64:21] 維他命E 維他命B1
[64:23] 維他命B2
[64:24] 維他命B6
[64:24] 維他命B12 葉酸
[64:26] 維他命C
[64:27] 還有看不懂日文
[64:27] 你要不要翻一下
[64:30] 所以它這個
[64:31] 11種的綜合維他命
[64:33] 然後一樣一天吃
[64:34] 兩顆
[64:36] 然後呢
[64:36] 吃等於一袋可以吃三個月
[64:39] 哇 也是可以吃三個月哦
[64:40] 一樣嘛
[64:41] 就像我跟你們講嘛
[64:42] 如果今天不知道自己呢
[64:44] 缺少什麼
[64:46] 缺少哪一種的維生素
[64:48] 對
[64:49] 就可以直接做補充
[64:50] 好不好
[64:51] 來
[64:51] 這個呢
[64:51] 有喜歡
[64:52] 然後
[64:53] 我覺得很好吃
[64:53] 他們家常常會做很好吃
[64:55] 有
[64:55] 就是你知道那些啦
[64:57] 很熟悉的那些朋友啦
[64:59] 先剪酸
[65:01] 好不好
[65:01] 飯酸
[65:02] 葉酸
[65:03] 好不好
[65:04] 來
[65:04] 這個呢
[65:05] 要的等一下幫我打關鍵字
[65:07] 11種有11種維生素
[65:10] 哎 其實好吃
[65:10] 你吃補討用
[65:11] 它是補討用口味的
[65:12] 對 補討用口味的
[65:14] 啊 不見哪時候吃
[65:15] 你就是一天可以吃兩顆
[65:16] 對 一天吃兩顆
[65:17] 他越王術
[65:18] 我就建議用王術餐後吃
[65:20] 對
[65:21] 給你們看一下
[65:22] 他的那個火千米好了
[65:23] 他中間市長這樣子
[65:25] 裡面是有那種類似果肉的那種
[65:27] 果汁在裡面
[65:29] 一天直接吃兩顆
[65:31] 然後大人小的都可以吃
[65:32] 小朋友如果會咀嚼糖果的
[65:34] 通通都可以
[65:35] 來 今天要的
[65:36] 海外連線超商取貨
[65:37] 餘率要先付款一下
[65:38] 除了新朋友
[65:40] 新朋友沒有辦法使用超商取貨
[65:41] 新朋友付款就可以了
[65:43] 新朋友都是一樣
[65:44] 我們海外連線都是要先付款完之後
[65:46] 才能超商取貨
[65:48] 新朋友先幫我加入
[65:49] 頁面上面的VIP社群
[65:50] 加入之後才可以喊單
[65:52] 那你在社群裡面
[65:53] 我們會給你新朋友購物精靈去
[65:55] 來 最後我要開家囉
[65:56] A1 3加1
[65:57] 如果你需要綜合維他命
[65:59] 簡簡單單輕鬆鬆
[66:00] 吃一個健康的零食就可以補充
[66:02] 只一種綜合維他命
[66:03] 關鍵是A1 3加1
[66:05] 來 這一袋我們比照剛剛
[66:09] 剛剛原本是1099 999
[66:11] 來 一樣給大家
[66:12] 商人價999 西安價
[66:13] 899
[66:14] 899帶回家
[66:16] 一天一樣花你不用10塊錢
[66:18] 直接拔你的
[66:19] 一顆拆單的錢
[66:20] 拔你綜合維他命一次補足
[66:22] 好不好
[66:23] 拔你綜合維他命一次補足
[66:25] 來 有喜歡的趕快加起來
[66:26] 我覺得這個
[66:28] 這次的味覺堂每一款都可以加
[66:29] 前面我們的葉酸加鐵
[66:31] 然後我們下午有賣那個維生素C
[66:33] 然後剛剛有賣那個葉黃素
[66:36] 然後這個是綜合維他命
[66:38] 11種
[66:39] 維他命A 維他命B 維他命C
[66:41] 維他命D
[66:43] 然後葉酸
[66:44] 就是總共11種
[66:46] 對身體非常好的營養成分在裡面
[66:48] 營養成分在裡面
[66:50] 然後呢
[66:51] 今年還有B12
[66:52] 好不好
[66:53] 然後才賣你們
[66:55] 899
[66:56] 好像是好事多才買得到的
[67:00] 好事多限定的才買得到
[67:01] 最新的
[67:02] 相信那個鐵葉酸你們來日本玩
[67:04] 多少都有看到嘛
[67:05] 然後這個葉黃素跟這個
[67:07] 我們綜合維他命
[67:08] 這個是最新的
[67:09] 好不好 最新的
[67:10] 今天要的只要多少錢
[67:12] 899
[67:13] 他發現只有這三個月
[67:14] 你們自己如果你家裡好幾個人要吃
[67:16] 這只
[67:17] 對 而且裡面有貝塔胡蘿蔔素
[67:18] 也是對眼睛非常好的
[67:20] 然後維生素D提升能免益力
[67:22] 維生素E幫你抗氧化
[67:24] 那維他命B你知道嗎
[67:25] 就是綜合維他命B全
[67:27] 其實在你的每日需要的活力
[67:29] 然後不到肉口味很好吃
[67:30] 好不好很好吃
[67:31] 來你們自己加起來囉
[67:33] 我們今天嘉義就是有180顆
[67:35] 180顆
[67:36] 一天吃兩顆等於是三個月的份量
[67:38] 等於是三個月的份量
[67:39] 你們大家直接加一給大家
[67:41] 這是899我看錯嗎
[67:42] 899
[67:44] 90天三個月的份量
[67:46] 綜合加11種綜合維他命
[67:48] 直接濃縮在一顆糖果裡面
[67:50] 小朋友會跟著你們搶
[67:52] 就是說
[67:52] 我真的好想要再吃
[67:53] 還想要再吃這樣子
[67:55] 笑起都是最新笑起放心帶
[67:57] 最新笑起放心帶
[67:58] 真的真的就是搶光光哦
[68:01] 好事多自己都搶光光哦
[68:02] 因為你絕對不會想
[68:04] 想到你本來想說
[68:05] 11種綜合維他命我要吃11種
[68:07] 才要幫他補足
[68:08] 不是來直接糖果
[68:09] 齁直接糖果就可以補足了
[68:11] 齁那個
[68:12] PBS我已經覺得厲害
[68:13] 要把它做成一顆口含定就可以補足了
[68:16] 哎做成糖果不是更厲害
[68:18] 真的
[68:18] 而且連小朋友都可以吃
[68:20] 齁小朋友不會排斥吃糖果吧
[68:22] 好不好沒錯
[68:23] 來這個要
[68:24] 笑起都是最新的啦
[68:25] 因為我手上這個是樣品好不好
[68:27] 樣品是到26年的12月
[68:29] 齁但是因為我們
[68:30] 這個是廠商這邊的樣品
[68:32] 齁然後呢
[68:33] 我們採買會比這個更新
[68:35] 好不好齁採買
[68:36] 因為我們讓你吃三個月
[68:37] 絕對會比三個月更久好不好
[68:39] 絕對會比三個月更久齁
[68:41] 來
[68:41] 再來這個我覺得超好吃
[68:43] 這也是那個巧克力動乾的感覺
[68:45] 好不好
[68:45] 草莓動乾齁草莓動乾
[68:47] 然後裡面有三種
[68:49] 有白巧克力黑巧克力
[68:51] 齁來我看一下
[68:52] 這感覺好好吃哦
[68:54] 來第一次進來
[68:55] 新朋友先幫我加入
[68:56] 加入頁面上面
[68:58] bip社群
[68:59] 齁才可以罕擔
[69:00] 我們在日本連線今天第一天
[69:02] 齁
[69:02] 頁面上面的bip社群
[69:04] 加入之後裡面齁
[69:06] 加入之後裡面呢
[69:08] 小幫手會引導你
[69:09] 先領取新朋友100元購物金
[69:11] 齁然後呢
[69:11] 會告訴你
[69:12] 我們這次直播連線的規則
[69:14] 齁因為我們才第一天
[69:15] 後面還有很多天的直播
[69:16] 直播
[69:17] 然後你
[69:17] 小幫手會告訴你
[69:18] 直播連線的規則
[69:19] 跟怎麼結當齁
[69:20] 所以一定一路
[69:21] 一路要幫我加入
[69:22] 我們的bip社群
[69:23] 來
[69:24] 這看啊
[69:25] 它裡面有白巧克力
[69:26] 牛奶巧克力跟草莓巧克力
[69:29] 來我看一下三種哦
[69:30] 我打開給你們看一下
[69:32] 這也太好打哭了
[69:33] 哎呀看起來這
[69:34] 410克的
[69:37] 怎麼分 410克啊
[69:39] 還有一個
[69:39] 對我再找有一個
[69:41] 這是白巧克力
[69:42] 這是牛奶巧克力
[69:43] 還有一個草莓巧克力
[69:44] 這個草莓巧克力
[69:45] 這草莓巧克力的
[69:46] 那我們打開一個
[69:47] 我們看裡面的洞乾
[69:48] 是長怎麼樣
[69:49] 好好齁
[69:50] 來這個是白巧克力哦
[69:52] 然後每一個打開裡面都是一顆
[69:54] 草莓本人哦
[69:55] 草莓本人哦
[69:57] 哦很厚的巧克力
[70:00] 白巧克力很厚的巧克力
[70:01] 然後裡面這個草莓洞乾本人
[70:03] 好大顆哦
[70:04] 超大顆的你們自己看
[70:06] 超大顆的
[70:07] 超大顆的草莓
[70:09] 我告訴他們
[70:09] 來日本中間都一定要買草莓來吃
[70:12] 嗯嗯好吃
[70:15] 很好吃
[70:16] 大一顆哦
[70:17] 每一個單位
[70:18] 就小小顆一口的
[70:19] 對草莓草莓超好吃的
[70:21] 我覺得都很好吃
[70:24] 草莓草莓
[70:24] 外面草莓裡面又不草莓
[70:26] 我跟你講哦
[70:27] 他一帶呢
[70:28] 他是我看一下幾顆410克
[70:30] 410克
[70:32] 那因為他是草莓本人下去稱重的
[70:34] 所以就沒有辦法
[70:35] 沒有算說裡面有幾個
[70:37] 有帶有小
[70:38] 然後稱重然後有三種
[70:39] 三種巧克力
[70:40] 白巧克力黑巧克力跟
[70:41] 本草草莓巧克力啊
[70:43] 三種好不好
[70:44] 然後效期至少都會到
[70:46] 27年的3月
[70:47] 這個超好吃
[70:48] 好不好
[70:49] 來這個有喜歡的
[70:50] 大家是A14哦
[70:52] A14這個好吃
[70:54] 真的很好吃
[70:54] 然後裡面是草莓凍乾本人
[70:55] 然後巧克力是很厚實的
[70:58] 巧克力是很厚實
[70:59] 一樣是好吃
[71:00] 日本好市多限定才買得到的
[71:01] 所以等下你吃
[71:02] 那強迫我要吃吃看
[71:04] 來那這個給你開架
[71:05] 來今天要的A14
[71:07] 好不好A14加1
[71:09] 來我們一樣開個一包
[71:10] 跟加油的組合架給他們啦
[71:13] 好啦加1給大家699
[71:14] 加1上給他659
[71:16] 是不是很好吃
[71:17] 是不是很好吃
[71:18] 很好吃
[71:19] 就你們
[71:21] 我現在的草莓等一下沒了
[71:23] 日本的草莓巧克力
[71:24] 他就是有一種很獨特的香氣
[71:26] 就如果加這個草莓巧克力
[71:28] 要沒了
[71:28] 草莓要沒了
[71:29] 他很獨特的香氣
[71:31] 然後再加在裡面草莓凍乾
[71:33] 很香很好吃
[71:34] 你還沒開架啦
[71:35] 來今天
[71:37] 加1給他699
[71:39] 加2以上給他659
[71:40] 我剛有開了對不對
[71:41] 開了就先上還是你要加2嘛
[71:43] 加2以上659
[71:44] 來
[71:45] A14加1
[71:46] 加1是剛剛說多少
[71:47] 699
[71:48] 699
[71:49] 加2以上多少
[71:50] 659
[71:51] 加2包
[71:52] 不要699啦
[71:52] 加2包以上就一包650啦
[71:55] 好不好
[71:55] 加2包以上
[71:56] 一包只要650
[71:57] 然後裡面很多
[71:59] 因為我們這個是已經開過了
[72:01] 廠商開過了
[72:02] 我們說是410克的
[72:04] 410克
[72:05] 然後份量很多
[72:06] 然後大包裝
[72:07] 然後會有三種巧克力
[72:08] 而且我覺得他做獨立包裝
[72:10] 非常非常好吃
[72:11] 是不是
[72:11] 我這樣一次草莓的
[72:12] 是不是
[72:13] 今天為天人很好吃
[72:14] 很香
[72:15] 很濃郁的那種草莓牛奶的感覺
[72:18] 草莓牛奶的感覺
[72:18] 草莓牛奶的感覺
[72:20] 來
[72:20] 這個要的趕快加起來
[72:22] 關鍵字是A14
[72:24] 好不好
[72:24] 加1袋699而已
[72:26] 加2袋
[72:26] 我真的覺得這個真的不要錯過
[72:29] 加2以上1袋650
[72:30] 很好吃
[72:31] 對
[72:31] 我剛好吃白巧
[72:32] 藍小哥你也很好吃
[72:33] 來
[72:34] 這個A14要的趕快加起來囉
[72:36] A14要的自己加起來
[72:37] 自己加起來囉
[72:38] 把握機會加起來
[72:39] 這也是日本好吃都限定的商品
[72:41] 日本好吃都限定的商品
[72:42] 你們自己加起來囉
[72:45] 超大顆的
[72:45] 真的很好吃
[72:48] 然後選的也是那個日本草莓
[72:49] 真的是
[72:51] 很厲害
[72:51] 真的很好吃
[72:52] 自己加起來
[72:52] 再來我把出一系列的那個
[72:56] 東京本南拿的
[72:57] 七七弟弟
[72:59] 好不好
[72:59] 七七系列
[73:00] 我們先出化妝包好了
[73:02] 這兩個會比較難買
[73:04] 這兩個會比較難買
[73:05] 直播要喊的要把握直播喊
[73:07] 因為我們到時候沒有就真的沒有
[73:08] 哦
[73:09] 來
[73:09] 我們先出化妝包
[73:11] 好不好
[73:11] 然後等一下會出餅乾
[73:12] 這是他們夏天那時候出的
[73:14] 現在
[73:14] 他已經快要換季沒有了
[73:16] 對
[73:17] 所以都要把握這一把
[73:18] 這好可愛哦
[73:18] 好不好
[73:19] 來
[73:19] 我先介紹這個化妝包給大家
[73:21] 一樣是東京本南拿聯名的
[73:23] 然後等一下
[73:24] 會有這兩種七七弟弟的餅乾
[73:26] 化妝包只剩是21.5乘以14乘以6
[73:29] 美國
[73:29] 這個就是現在最紅的啦
[73:31] 夜賣隔夜夜賣
[73:32] 對
[73:32] 隔夜夜賣你們要的
[73:34] 這整
[73:35] 這整家是別人賣完的
[73:37] 我們今天
[73:37] 別人在直播組賣光的
[73:39] 好不好
[73:39] 直播組賣的
[73:41] 我們今天去好多廠
[73:41] 就說哇
[73:42] 你們很幸運
[73:43] 對剛好有貨
[73:44] 今天補貨的
[73:44] 這個是別人的貨哦
[73:46] 對
[73:46] 因為剛好
[73:47] 就是人家要出給別人的
[73:49] 我們借來
[73:50] 然後再幫你們訂貨
[73:51] 好不好
[73:52] 然後我們先介紹這個
[73:53] 七七弟弟的這個
[73:54] 棉麻布料的化妝包
[73:56] 好不好
[73:56] 棉麻布料化妝包
[73:58] 很可愛
[73:58] 你看一下
[73:59] 超可愛
[74:00] 那兩面圖案不一樣
[74:02] 兩面圖案不一樣
[74:03] 然後還有一個
[74:03] 大大的鑰匙圈
[74:04] 這是金屬五金的拉鍊頭哦
[74:07] 金屬的
[74:07] 它不是說金屬的拉鍊頭
[74:09] 金屬五金的拉鍊頭
[74:11] 給你們看看一下
[74:11] 然後我先跟講
[74:12] 它那個棉麻布料上面有黑點
[74:14] 這個是材質材料正常的現象
[74:17] 黑點你們看到嗎
[74:17] 都是正常的現象
[74:18] 它不是發霉哦
[74:19] 它是材質本身
[74:20] 材質本身就可以這樣子
[74:21] 來
[74:22] 好可愛哦
[74:23] 你自己看
[74:24] 哇
[74:25] 裡面是那個很鬆過
[74:27] 裡面是鬆過
[74:28] 天天突然的鬆過
[74:30] 然後裡面有兩個小口袋
[74:32] 好不好
[74:33] 雖然做得很細
[74:33] 裡面有兩個小口袋
[74:34] 然後這個你要放大尺寸手機
[74:36] 當化妝包什麼
[74:37] 都沒有問題
[74:38] 好不好
[74:39] 來
[74:39] 喜歡七七弟弟的朋友
[74:41] 雖然我們家現在沒有做迪士尼了
[74:42] 但是這個
[74:43] 日本的超級可愛
[74:45] 來這個要的幫我打
[74:46] 關鍵字A15
[74:47] A15
[74:48] A15加1
[74:50] A15加1
[74:51] 來
[74:51] 這個要的朋友今天給大家
[74:54] 日本的日本的兩面圖案不要
[74:56] 來三層架四百五
[74:57] 現在要架三九九待會兒
[74:59] 三九九
[75:00] 三九九
[75:01] 但我還是跟大家講
[75:02] 東京本南南這種
[75:03] 因為它都一直
[75:04] 系列的不好買
[75:05] 很難買
[75:05] 期間限定
[75:06] 我們先收單
[75:07] 原來是周邊商品
[75:08] 很難買
[75:09] 我們先收單
[75:10] 但如果說真的
[75:11] 斷貨買不到
[75:12] 就請多包含
[75:13] 來看看細節拉鍊頭的部分
[75:15] 給你們看一下細節
[75:16] 它正面是我們的那個
[75:19] 那個七七弟弟
[75:19] 他們在松果的一個造型
[75:21] 有沒有看到
[75:22] 一個松果的造型
[75:22] 然後都是鐵
[75:23] 鐵製的
[75:24] 後面有一個Disney的Logo
[75:26] 然後打開後
[75:27] 裡面是整個是做一個松果
[75:29] 連裡面內
[75:30] 你不都做得很精緻
[75:32] 然後旁邊有兩個夾層
[75:33] 兩旁邊有小小的兩個夾層
[75:35] 你們可以拿來利用
[75:36] 拿來利用
[75:36] 然後是拉鍊開口
[75:38] 拉鍊開口
[75:38] 旁邊還有一個小瓶標
[75:41] 然後寫七七弟弟
[75:43] 來今天這個
[75:44] 把娘直播價直接A15
[75:46] 加一給再加399
[75:48] 尺寸是21.5乘以14乘以6
[75:51] 21.5乘以14乘以6的尺寸
[75:53] 你們自己加起來
[75:54] 它是有寬度的
[75:55] 所以有6
[75:56] 有後度的
[75:57] 有後度的
[75:57] 有後度的
[75:58] 來
[75:58] 這個你們要的自己加了
[76:00] 來
[76:01] 關鍵讓我再講一次
[76:02] 我們在日本賣的東西
[76:04] 很多東西都是日本設計
[76:05] 日本監製
[76:06] 然後那個中國設計
[76:07] 我沒有把每一款幫你確認
[76:09] 不介意再買好不好
[76:11] 不介意再買
[76:12] 來A15
[76:13] 先上架399
[76:15] 399
[76:16] 下架399
[76:17] 來你再來你要哪一個先
[76:20] 這兩個是一樣的東西
[76:22] 這兩個是一樣的東西
[76:23] 一個是鐵盒一個是這個
[76:25] 對
[76:25] 然後裡面都是巧克力甲心餅乾
[76:27] 只是不一樣
[76:29] 一個鐵盒一個端一個是
[76:30] 那就先這個然後再這個
[76:32] 這個鐵盒可以
[76:32] 這是重複利用
[76:34] 對
[76:34] 好不好
[76:34] 那你就先開這個
[76:36] 鐵盒犧牲的就是
[76:37] 你裡面的餅乾數量
[76:38] 對
[76:39] 那這個要打開嗎
[76:41] 那邊有嗎
[76:42] 沒有對不對
[76:43] 其實裡面沒有
[76:44] 這個好像沒有
[76:45] 因為這個很難買
[76:46] 我覺得要被吃完
[76:48] 有嗎
[76:48] 因為對
[76:50] 這有一個
[76:51] 這是對
[76:52] 這比較難買了
[76:53] 那你不是有照片
[76:55] 你要吃嗎
[76:56] 也不用用照片就好啦
[76:57] 你都很難買了
[76:58] 很難買啊
[76:59] 一到這邊就有了
[77:00] 不用啊
[77:00] 這個有照片啊
[77:02] 有
[77:03] 來
[77:03] 這不要等一下哦
[77:04] 我給你們看一下照片
[77:05] 因為在拆盒少一盒
[77:07] 它現在這已經包
[77:08] 包準備賺了
[77:09] 它是餅乾上面哦
[77:11] 餅乾上面也有起起地地哦
[77:12] 這最後最後
[77:13] 他們剩下的那個
[77:15] 我覺得應該是最後
[77:16] 最後最後一批了
[77:17] 我覺得因為
[77:18] 現在要準備換季
[77:19] 然後這起起地地
[77:19] 他們的
[77:20] 現在已經換成
[77:20] 我們剛剛開的動物方程室
[77:22] 對
[77:22] 動物方程室
[77:23] 沒有趕快看過對不對
[77:24] 動物方程室
[77:25] 不動物方程室我講錯了
[77:26] 那個
[77:27] 玩具總動員
[77:27] 玩具總動員
[77:28] 還在這裡啊
[77:29] 對
[77:29] 他們現在都換成
[77:30] 玩具總動員了啦
[77:31] 所以這個
[77:32] 我覺得不好買
[77:33] 真的很不好買
[77:34] 對
[77:34] 你們自己保護
[77:35] 這次起起地的機會
[77:37] 那效期的話
[77:37] 我們手上的效期
[77:38] 是到
[77:39] 2026年的10月
[77:41] 我想吃
[77:41] 好不好
[77:42] 到10月
[77:43] 24
[77:43] 10月24哦
[77:44] 所以這如果到時候
[77:45] 快過期
[77:46] 我們也會幫我們
[77:46] 採藍機養
[77:47] 如果他快過期
[77:48] 我們幫你拆
[77:48] 沒
[77:49] 我們都會
[77:50] 我們都會直接
[77:50] 幫你們吸收
[77:51] 預備採藍機
[77:52] 如果到時候
[77:53] 跟這種伴手
[77:53] 一人效期短的話
[77:54] 我們會幫你們處理
[77:55] 不用擔心說
[77:56] 你們收到一定要過期
[77:57] 這樣子
[77:58] 對
[77:58] 那如果本身
[77:59] 效期都短的話
[78:00] 那你們要自己留意
[78:01] 他的那個
[78:01] 開封時間
[78:02] 裡面有個氣泡袋
[78:03] 我們還在跟你們講哦
[78:04] 餅乾系列的
[78:06] 在運輸過程中
[78:07] 還是有可能
[78:07] 會有破裂的
[78:11] 不建議再買好不好
[78:12] 他建議這個比較不一樣
[78:12] 他的鐵盒是12入的
[78:14] 鐵盒是12入
[78:15] 然後我們的
[78:16] 紙盒裝那是8入的
[78:17] 12張是8入的
[78:18] 我們兩個都開給大家
[78:19] 都有起吉利利加克麗斯的外包裝
[78:21] 然後我們打開看看
[78:22] 裡面餅乾也有哦
[78:24] 然後餅乾很可愛
[78:26] 這個之前
[78:27] 就看過人家開箱
[78:28] 超可愛的
[78:29] 你知道這個
[78:29] 我還沒來日本的時候
[78:30] 他出的時候說
[78:31] 哇
[78:32] 這要是我們那時候
[78:33] 在日本多好
[78:34] 對
[78:34] 結果我們真的來日本
[78:35] 還有還有哦
[78:36] 還有
[78:37] 還有數量可以開給大家
[78:38] 還有數量可以開給大家
[78:42] 然後上面也有起吉利利的
[78:44] 有啦
[78:44] 給你們看一下
[78:45] 我跟你講
[78:45] 我現在他每一包的
[78:47] 不都是不都是不都是不一樣的
[78:48] 那個起吉利利的
[78:49] 像我剛剛手上的克麗斯的克麗斯的
[78:52] 然後他中間夾心
[78:53] 也是夾我們的
[78:54] 外層是我們的巧克力
[78:55] 然後裡面
[78:56] 那裡面是夾香蕉香蕉
[78:59] 香蕉香蕉的口味吧
[79:01] 有香蕉嗎
[79:01] 我試試看
[79:02] 香蕉
[79:03] 香蕉巧克力
[79:04] 香蕉
[79:06] 好帥哦
[79:07] 是香蕉
[79:08] 香蕉
[79:09] 中間香蕉
[79:10] 好吃
[79:11] 超脆的耶
[79:12] 嗯很脆
[79:12] 外層是巧克力餅乾
[79:13] 然後裡面是夾香蕉的那個醬
[79:15] 哎很好吃耶
[79:16] 很好吃
[79:16] 很脆
[79:17] 他不會膩
[79:18] 很好吃
[79:19] 他的餅乾怎麼可以那麼脆啊
[79:22] 那咬薄餅感覺
[79:23] 他不是
[79:23] 那他不是薄餅
[79:24] 很好吃
[79:24] 嗯
[79:25] 來今天怎麼開架給大家
[79:27] 來這個是八路的
[79:28] 紫荷包裝的好不好
[79:29] a16加1
[79:31] a16
[79:32] 這裡這裡
[79:33] 這裡握起來
[79:35] 來今天你要怎麼開
[79:37] 這個是
[79:38] 這個是八路的
[79:39] 八路的
[79:40] a16加1
[79:41] 來今天要的朋友
[79:43] 商城價590
[79:44] 590
[79:45] 來今天
