[220:02] 好不好我覺得超好喝
[223:20] 你把它做一做
[223:21] 包冰箱裡面
[223:22] 隔天起床
[223:22] 它隔一天就會變成一個
[223:24] 冰冰涼涼的
[223:25] 夜賣杯
[223:26] 你們看到的這個
[223:28] 好啊
[223:29] 你可以自己加一點藍莓啊
[223:31] 像草莓啊
[223:33] 香蕉堅果優格啊
[223:35] 我跟你講
[223:35] 你只要一包這麼大一包
[223:37] 你可以大概可以用大概
[223:38] 16份早餐
[223:39] 16份早餐
[223:40] 一包是800克
[223:41] 可以泡成16次早餐
[223:43] 為什麼要這樣
[223:43] 因為它其實裡面
[223:44] 它是高營養的
[223:46] 剩餘纖維
[223:46] 然後還有那個
[223:47] Omega-3
[223:48] 豬腥的蛋白
[223:49] 然後我們的
[223:50] 奇牙籽
[223:50] 它就是黑浪有保足感
[223:52] 為什麼奇牙籽
[223:52] 奇牙籽它在最後會
[223:54] 包冰箱後
[223:55] 它會有那個
[223:56] 膨脹啊
[223:56] 膨脹
[223:57] 所以黑浪有保足感
[223:58] 然後所以它非常的健康
[223:59] 它吸收水分就會變Q彈凝膠
[224:02] 口感非常好
[224:02] 讓你保足感更持久
[224:04] 你加牛奶
[224:05] 豆漿 燕麥奶 杏仁奶
[224:06] 你甚至只是加水
[224:07] 都可以
[224:08] 都可以
[224:08] 然後加水果加優格
[224:10] 加堅果一起吃
[224:11] 對
[224:11] 讓你的營養更均衡
[224:13] 然後你大概就是50克
[224:14] 可以加那個
[224:15] 50克
[224:16] 50克的
[224:16] 我們給你們看一下
[224:17] 50克的這個
[224:18] 燕麥可以加125克的液體
[224:20] 這樣子去搭配
[224:21] 冷藏
[224:22] 兩個小時以上
[224:23] 以上賣冰箱兩個小時以上
[224:25] 它直接放隔夜
[224:26] 早上起來喝是最好的
[224:28] 好不好
[224:28] 像這樣子
[224:32] 它就加那個加水
[224:33] 你們也可以加牛奶
[224:35] 你看我們這就是加牛奶
[224:36] 加牛奶的
[224:37] 然後也把它攪一攪
[224:38] 冰到冷藏裡
[224:39] 隔天就是一份
[224:41] 好菜了
[224:42] 因為我們還沒有冰兩個小時
[224:44] 它就是你這樣子
[224:45] 它會就是
[224:47] 會凝固起來
[224:48] 凝固起來
[224:49] 會凝固起來
[224:49] 然後做一個很好吃
[224:51] 就有搭了燕麥
[224:52] 有加了
[224:54] 莓果 有加了齊牙籽
[224:55] 好不好
[224:56] 有沒有 大家都在等這一個
[224:58] 他從頭
[224:59] 從直播開始到直播尾巴
[225:01] 大概已經有100個人在問了
[225:03] 我們差點略攻
[225:04] 剛剛在那邊說還沒開賣
[225:05] 一定要隔夜先泡
[225:06] 它就叫做隔夜燕麥
[225:08] 就是兩個小時
[225:09] 你要冰在冰箱兩個小時
[225:11] 對
[225:12] 至少兩個小時
[225:13] 好不好 官方建議
[225:14] 你就是隔天泡完去睡
[225:15] 隔天前一天晚上去泡完
[225:17] 直接去睡覺
[225:18] 其實我們現在已經有開始有
[225:20] 在凝固的感覺
[225:22] 現在那個角色已經有凝固的感覺了
[225:24] 因為它裡面本身是牙籽
[225:25] 跟那個莓果
[225:27] 那我們現在是白色顏色
[225:29] 是因為我們加牛奶
[225:30] 我們今天要拿冰兩個小時後
[225:32] 它就可以是一個
[225:34] 一個很完美的早餐
[225:36] 然後你可以再加一點水果
[225:37] 優格 堅果一起搭配
[225:39] 它就是一份完美的早餐
[225:41] 完美的早餐
[225:42] 藍人的早餐
[225:43] 然後又營養又健康
[225:44] 挖一點 然後加一點水
[225:46] 加拿大來了
[225:47] 加拿大來了
[225:47] 沒錯
[225:48] 那當然這一款就是
[225:49] 已經是蜂蜜
[225:51] 現在一上架就是搶光
[225:53] 我跟你們講嘛
[225:54] 這些全部都是
[225:55] 我們今天去好市場
[225:56] 他說我們很幸運
[225:57] 這些全部都是其他直播組賣用的
[225:59] 好不好
[226:00] 半年沒出現了
[226:01] 已經半年沒出現了
[226:02] 已經半年沒出現了
[226:04] 半年沒出現了
[226:05] 這個跟大家講
[226:06] 如果你們等很久
[226:07] 我剛剛有講嘛
[226:08] 代購賣你們一包900
[226:09] 還不見得買得到
[226:10] 想半天
[226:12] 今天我們不會賣你們900
[226:13] 都讓你們等級整完了
[226:15] 好不好
[226:15] 來 今天A44
[226:17] A44
[226:18] 來 我們開一個加一的價錢
[226:20] 跟一個加三的主流價
[226:21] 你們放完就會長這樣子
[226:22] 然後加三以上的主流價
[226:23] 我覺得類似有一點
[226:24] 類似那種有
[226:26] 果凍感的那種感覺
[226:28] 然後你們上面如果今天要自己加
[226:29] 你沒有加也沒有關係
[226:30] 假設吃下面就很好吃了
[226:33] 那如果已經有搭配一些水果
[226:35] 莓果加起來更好吃
[226:37] 那下面的底
[226:38] 你如果今天想要加牛奶
[226:40] 它就有淡淡的奶香
[226:41] 你今天想要加豆漿
[226:43] 它就會有豆漿的香氣
[226:44] 你今天加水
[226:45] 它本身就是莓果的
[226:47] 莓果的香味
[226:48] 所以你不管怎樣做
[226:50] 它都不會
[226:51] 都是超級無敵好吃
[226:53] 然後又方便
[226:54] 來 把娘代購今天
[226:56] 然後他們說
[226:57] 這款已經半年沒出了
[226:59] 現在出了
[227:01] 代購都賣到912
[227:02] 今天大家從剛剛一開始
[227:05] 回家賣了
[227:06] A44嘉儀
[227:08] 來 今天給大家
[227:09] 加一包不用900塊
[227:11] 今天加一包799
[227:12] 蛤
[227:13] 來 還有加3的組合價
[227:15] 加3以上一包給你們699
[227:18] 699
[227:19] 三包
[227:20] 你不要拿去轉賣
[227:21] 這個好吃
[227:21] 你不要拿去轉賣
[227:23] 別人賣一包900多
[227:25] 我今天加3包以上一包699
[227:27] 你3包4包5包6包7包
[227:29] 8包9包10包
[227:30] 自己趕快吞起來
[227:31] 超級難賣
[227:32] 再講一次
[227:33] 他是來自
[227:33] 他是有有機的宴賣
[227:35] 然後呢
[227:36] Omega 3的旗牙紙
[227:38] 你負還Omega 3的旗牙紙
[227:40] 那裡面有那個莓果
[227:42] 所以你看起來
[227:43] 他有點那種粉粉的在裡面
[227:44] 他是那個不是人公社說
[227:46] 他就是莓果本人
[227:47] 莓果本人
[227:48] 那莓果本來就有花青素
[227:50] 對
[227:51] 就有花青素
[227:52] 來 非常好吃
[227:53] 他是旗牙紙宴賣家莓果
[227:55] 有賽斯纖維幫助排便
[227:57] 你在家裡就可以做一個那個
[227:59] 你去那個
[228:00] 對 網美早餐店
[228:01] 那個高級早餐店的
[228:02] 咖啡廳早餐的
[228:04] 早餐那個東西
[228:05] 那個等級的東西
[228:06] 兩三百塊錢
[228:07] 你今天怎樣
[228:08] 財賣你們家餐也上一包
[228:10] 六九九
[228:11] 校情我手上的
[228:12] 2020年7月
[228:14] 就跟你們講
[228:14] 他半年沒出現了
[228:16] 好
[228:17] 你們要的
[228:18] 最強光光
[228:19] 對
[228:20] 沒錯
[228:20] 他不是蜂蜜日本
[228:21] 然後他蜂蜜全球
[228:23] 蜂蜜全球
[228:24] 大家都在搶這個包
[228:25] 你們自己夾起來
[228:26] 當早餐
[228:27] 當下午點心都很方便
[228:28] 反正你就是提早
[228:29] 從提早把它泡好
[228:30] 放在冰箱
[228:31] 想吃的時候就拿出來吃
[228:33] 沒錯
[228:33] 好不好
[228:34] 想吃的時候就拿出來吃
[228:34] 那餅乾也可以自己去調
[228:36] 因為你喜歡比較濃稠的
[228:37] 或你比較喜歡稀
[228:38] 比較稀一點的
[228:39] 你們就可以按照你的水分
[228:40] 那我們這邊建議你就是
[228:42] 你們可以用50克的這個
[228:44] 50克裡面的粉末
[228:45] 然後加上125克的
[228:47] 125ml的液體
[228:48] 你要想要125ml的牛奶啊
[228:51] 豆漿啊 燕麥奶啊
[228:53] 什麼杏仁奶什麼
[228:54] 反正你想要水也可以
[228:56] 都沒問題
[228:57] 他有付那個植物性難買
[228:58] 你本身如果有在運動
[228:59] 有在控管體重的
[229:01] 對
[229:01] 非常適合就是來買這一款好不好
[229:03] 都是你今天準備
[229:04] 你們就在家裡買一個優格嘛
[229:07] 早餐可買一個優格
[229:08] 然後你不跟這個paint
[229:09] 買原味優格跟這個
[229:10] 哇
[229:10] 你自己可以DI會出一個
[229:11] 超級精緻的優格
[229:13] 我這我跟你講
[229:14] 我這外面都900多一包
[229:15] 你還買不到哦
[229:17] 我今天賣你們這個
[229:18] 這麼優惠的價格哦
[229:19] 你們不買你真的搶不到
[229:21] 我跟你講
[229:22] 你真的搶不到
[229:22] 你們剛剛看看有多少人問
[229:24] 剛剛我這會不會問到
[229:26] 實在是傻眼了好不好
[229:27] 真的
[229:27] 你看他有多紅
[229:29] 好不好 你看有多紅
[229:29] 有不好人一直問
[229:31] 對 大家要推走了
[229:31] 我跟你講
[229:32] 你看嘛
[229:33] 我隨便別人賣900多
[229:35] 我隨便賣你900一包
[229:37] 我賣你三包也要2000期
[229:39] 但我現在賣你699
[229:40] 699三包2097
[229:43] 我直接整個就是買二送一
[229:44] 重點
[229:45] 真的買二送一
[229:46] 900多不見得還買得到
[229:47] 還買得到了
[229:48] 就你900多搞不好還買不到
[229:50] 你今天今天加三一包699
[229:52] 帶回家
[229:54] 你今天要當早餐當點心
[229:56] 當宵夜都可以好不好
[229:58] 然後補充蛋白質
[229:59] 補充30纖維
[230:00] 然後大家知道嗎
[230:01] 機能性它是有機的燕麥
[230:03] 沒錯
[230:04] 燕麥本身就是卡路里很低
[230:06] 所以如果你今天有在運動
[230:07] 有在控管體重
[230:08] 這一款很適合
[230:09] 因為我們隨便吃一個火腿蛋或蛋餅
[230:12] 我跟你講卡路里都比這個高
[230:13] 沒錯
[230:14] 而且又不健康
[230:15] 不會很甜
[230:15] 不會很甜
[230:16] 這個我幫你圈了
[230:17] 這不會很甜
[230:18] 不會很甜
[230:19] 這個火超火紅的
[230:20] 對 它超級無敵火
[230:21] 它不會很甜
[230:23] 它就是這個莓果本身的甜度
[230:25] 莓果的甜度
[230:25] 那你因為你今天已經
[230:27] 有用那個我們剛剛說
[230:28] 你今天已經有吸濕過
[230:29] 你有用水或是牛奶
[230:30] 你又加了比較多的話
[230:32] 那當然你的牛奶比例的味道
[230:34] 會比較中音
[230:34] 對
[230:35] 依照你自己一個更喜歡口味
[230:37] 我覺得它當然是一整包
[230:38] 大包裝的聲音
[230:39] 來
[230:40] 所有的東西都不能跟你保證
[230:42] 中秋節錢會到貨
[230:44] 好不好
[230:44] 沒辦法保證
[230:45] 我們9月9號結單
[230:46] 20到30的工作天鋪包很佳
[230:48] 當然提早到貨
[230:49] 我們今天也提到自己
[230:50] 所以如果
[230:51] 你商品就有提早配到貨的
[230:53] 你可以自費 預費80塊
[230:54] 私訊客服幫你協助
[230:56] 直接把這筆單
[230:56] 先拆單優先寄出給你
[230:58] 當天就會寄出給你了
[230:59] 對
[231:00] 你們自己考量
[231:01] 自己考量一下
[231:01] 那基本上我們都會努力
[231:03] 盡快幫他追加
[231:04] 因為我們所有產品都是發空域
[231:06] 然後
[231:06] 現在都有同時有在幫大家
[231:09] 進行一個採購的動作
[231:10] 所以你們可以放行
[231:11] 不能保證
[231:11] 但是我們會盡力
[231:13] 對
[231:13] 你們放心
[231:14] 我們一定會盡全力的幫你們
[231:16] 因為其他呢
[231:17] 我們在海外連線真的是
[231:19] 把娘覺得
[231:20] 那個
[231:21] 實際期限到還沒到
[231:22] 他只覺得哇
[231:23] 你們可能等了
[231:23] 有一天很久
[231:24] 他把人都自費
[231:25] 把你幾百張 幾千單
[231:26] 直接拆單給你們
[231:28] 那預費都好幾萬
[231:29] 再幫你們自費吸收
[231:30] 一包他是建議配100
[231:32] 150CC的水是不是
[231:33] 對
[231:33] 這邊125
[231:35] 但是濃蛋度可以自己做調整
[231:37] 個人
[231:37] 對 你可以幫他備住這個
[231:38] 因為他們可能
[231:38] 濃蛋度自己做調整
[231:40] 然後跟口感
[231:41] 你想要配牛奶豆漿
[231:42] 醃麥奶
[231:43] 新的奶都可以
[231:44] 他建議一餐50克
[231:45] 它裡面有800克
[231:47] 你就自己換算
[231:48] 大概就是16攤
[231:50] 16次的早餐
[231:51] 16次
[231:52] 16 黑泡16次
[231:53] 那
[231:53] 你
[231:54] 然後你看
[231:55] 如果16次
[231:56] 你一天
[231:57] 你現在一天早餐
[231:58] 這樣花四十幾塊
[231:59] 你現在四十幾塊
[232:00] 早餐店買得到早餐嗎
[232:01] 不可能
[232:02] 不可能好不好
[232:03] 然後更何況
[232:04] 你是吃這種咖啡廳
[232:05] 或者我們那種
[232:07] 對
[232:07] 那種網美餐廳有機的
[232:09] 你不要說我們
[232:10] 你今天這個限量的東西
[232:11] 完美開一竿
[232:12] 拿都拿不到
[232:13] 可以乾吃嗎
[232:14] 可以
[232:14] 但我覺得
[232:15] 他就比較沒有他的那個功效
[232:17] 這樣
[232:17] 因為齊牙齒一定要泡
[232:19] 然後膨脹
[232:20] 讓你有飽足感
[232:21] 齊牙齒最少
[232:23] 最少你就是冷藏
[232:24] 泡兩個小時
[232:25] 你沒有兩個小時
[232:26] 你就盡量不要
[232:27] 不要
[232:27] 你就就是
[232:28] 你會
[232:29] 你就是浪費他啦
[232:30] 他今天就是
[232:31] 他今天的用途就是拿來泡
[232:32] 他主要
[232:33] 官方自己
[232:34] 說
[232:34] 他就是拿來叫
[232:35] 至少要泡兩個小時
[232:36] 這是官方說
[232:37] 那你說
[232:37] 你要直接吃
[232:39] 他是沒問題的
[232:40] 但就是可能不會你
[232:41] 就沒有他那麼大的
[232:42] 反味道最大的小
[232:43] 沒錯
[232:44] 沒錯沒錯沒錯沒錯沒錯沒錯
[232:46] 加到暴龍
[232:47] 我覺得
[232:47] 這表可能沒辦法上購物車
[232:49] 我怕
[232:49] 我怕買不到才是重點
[232:51] 我怕買不到才是重點
[232:53] 好不好
[232:54] 這邊已經兩排了
[232:55] 好怕買不到
[232:58] 好怕買不到
[232:58] 這個真的很強
[233:00] 我剛有去做功課
[233:02] 我知道這個東西的稀有性
[233:04] 那
[233:05] 別人可能跌了好幾倍
[233:06] 這樣我們今天不用
[233:07] 我們今天成本拿多少
[233:08] 我們就直接開多少
[233:08] 錢給大家
[233:09] 真的是給他超級無理由
[233:11] 會的價錢
[233:11] 你們自己把握機會
[233:12] 加上的話一包早
[233:14] 要求
[233:15] 九家
[233:16] 好自己加起來囉
[233:18] 因為幾乎就是買二送一的概念
[233:20] 我跟你們講嘛
[233:21] 齁
[233:22] 因為是讓你們等很久
[233:23] 因為我一直想說
[233:24] 等他膨脹起來
[233:25] 讓你們看到他凝固的樣子
[233:27] 但因為我們就是
[233:28] 沒有
[233:29] 我們沒有冷藏啊
[233:30] 等於沒有提早
[233:31] 對
[233:31] 所以他的速度比較慢一點
[233:33] 但因為你們一直敲碗
[233:34] 我想說不要讓你們等太久
[233:35] 所以開了一個
[233:36] 超甜的價格給大家
[233:38] 齁
[233:38] 所以你們要的趕快趁今天加
[233:40] 啊不要給我拿去轉賣喔
[233:41] 真的不要轉賣
[233:42] 然後拿去轉賣喔
[233:43] 我們這個家的
[233:44] 轉賣之後拉你黑名單
[233:45] 被發現了嗎
[233:47] 因為我們也是很辛苦
[233:48] 要幫大家採賣好不好
[233:50] 來
[233:50] 再讓我們出這個大幅
[233:51] 還有
[233:52] 今天我們
[233:53] 一瓜跟紅豆吧
[233:55] 一瓜有回來嗎
[233:56] 對有
[233:57] 我今天這瓜我們有買回來
[233:58] 對來
[233:58] 我們今天還沒有賣到這種大幅
[234:00] 好不好
[234:01] 一樣這個是日本非常有名的九世福
[234:04] 好不好
[234:05] 九世福大幅
[234:06] 九世福大幅
[234:07] 然後有兩個口味
[234:09] 齁
[234:09] 這個
[234:10] 芋頭島好像是新的
[234:12] 對新的
[234:13] 新的齁
[234:14] 給我看一下下面
[234:16] 下面是他他
[234:18] 來
[234:19] 這個大幅我看一下
[234:20] 裡面是六袋好不好
[234:23] 一盒裡面是六袋
[234:24] 齁
[234:25] 然後這個紅玉是鹿兒島的紅玉
[234:28] 然後這個是什麼
[234:29] 北海道產的紅豆
[234:32] 好不好
[234:33] 北海道產的紅豆齁
[234:35] 這個我們可以猜一個嗎
[234:37] 可以啊
[234:38] 可以啊
[234:42] 那你要
[234:42] 你要紅豆還是
[234:44] 呃
[234:44] 我想吃紅豆
[234:47] 看起來好好吃耶
[234:49] 來
[234:50] 我們先來猜北海豆的紅豆大幅
[234:53] 好不好
[234:54] 他是那個九世福商店
[234:56] 啊我來看一下裡面的包裝
[234:58] 長怎麼樣子
[234:58] 你們等我一下
[235:01] 哇
[235:01] 他是這樣子耶
[235:03] 哇六袋哦
[235:05] 然後裡面哦
[235:06] 我看裡面幾顆好不好
[235:08] 裡面有好幾個獨立包裝
[235:10] 裡面有好幾個我看一下
[235:11] 我再猜
[235:13] 再猜
[235:13] 看它裡面幾個
[235:17] 來我看一下
[235:18] 哇
[235:19] 他是算客處啦
[235:20] 但是我看一下
[235:21] 八四十八粒
[235:22] 是哦裡面有八個固定
[235:24] 八成是八成六的
[235:26] 八六十八
[235:26] 有
[235:27] 呃裡面有幾袋
[235:29] 六袋六袋
[235:29] 所以裡面總共會有四十八個
[235:31] 因為突然變大聲有嗎
[235:33] 因為我在這裡
[235:35] 對對對
[235:37] 我拿過去啦
[235:39] 來
[235:40] 他是獨立包裝哦
[235:41] 獨立包裝
[235:42] 然後這個是
[235:43] 呃
[235:43] 你們到時候等一下加一
[235:44] 就是會有兩種口味可以選
[235:46] 然後一樣結單之後
[235:47] 結單的時候到購物車選口味
[235:49] 好然後這個是紅豆的大幅
[235:51] 我來吃吃看
[235:56] 哦很好吃耶
[235:57] 好而且他不黏牙
[235:58] 很Q彈好不好
[236:00] 不黏牙很Q彈
[236:02] 哦好吃耶
[236:04] 來
[236:04] 他這個是對這裡
[236:06] 他紅豆好吃
[236:07] 他是北海道紅豆
[236:08] 然後他裡面他是使用那個
[236:10] 他們就是
[236:11] 他們這一家的裡面
[236:12] 就是守護著傳統的好味道
[236:14] 他們賣了這麼多年
[236:16] 這麼長久以來
[236:17] 他們都是
[236:18] 希望把最原始最傳統味道帶給大家
[236:21] 他是誰
[236:21] 他是職人級的口感真相
[236:23] 他是
[236:24] 你們知道日本職人工匠
[236:26] 他們手
[236:27] 手工調做出來的那個
[236:29] 麻糬餅皮的比例
[236:31] 跟裡面現的比例
[236:32] 一直以來都要保持這傳統的好味道
[236:34] 大家吃然後他的
[236:36] 外皮的
[236:36] 他是很Q很Q的糯米做的
[236:38] 很Q的糯米做的
[236:40] 好好吃看
[236:41] 超好吃
[236:42] 而且大小剛剛好
[236:45] 嗯好好吃對不對
[236:46] 超好吃的
[236:47] 他完全不會很甜
[236:48] 他也不會很黏牙
[236:48] 對很好吃
[236:49] 吃了你會想再吃第二個
[236:51] 哈因為他等於是就是那種
[236:53] 一口吃的大小
[236:54] 有的大廚做一個太大嘛
[236:56] 然後你要吃分很多口
[236:58] 請先幫我泡一杯抹茶
[236:59] 哈哈哈哈
[237:00] 很好吃
[237:00] 很適合
[237:01] 你上次高級咖啡店的感覺
[237:03] 你們剛才前面我們
[237:03] 我們其實我們店有賣抹茶嗎
[237:05] 抹茶
[237:06] 抹咧抹茶
[237:06] 抹茶
[237:08] 伯爵奶茶一堆茶
[237:10] 都很適合配這款
[237:11] 很適合很適合
[237:11] 這就是認識你坐在那個
[237:13] 很
[237:13] 來先沒有怎麼決擔
[237:14] 你要不要教一下
[237:16] 好沒有來講
[237:17] 我先講這個
[237:18] 來
[237:19] 你就很像你今天坐在外面
[237:20] 然後外面就一堆櫻花樹
[237:22] 然後那個他端了一個那個甜點
[237:24] 然後你還有附一個小刀叉
[237:25] 為了吃這個抹茶
[237:26] 那種等級
[237:27] 真的超好吃
[237:28] 這是職人等級
[237:29] 那種一口接一口
[237:31] 那我們今天兩種口味
[237:32] 今天你這樣一包裡面有
[237:34] 六大六袋
[237:35] 然後六袋裡面有發小包獨立包裝
[237:37] 總共四十八顆
[237:39] 有兩種口味
[237:40] 紅豆跟這最新最新的口味
[237:42] 今天剛剛今天剛到的
[237:44] 燒芋就是我們的紫芋
[237:46] 紫芋地瓜的
[237:47] 綠油紫芋地瓜
[237:48] 它是最新的
[237:49] 那一樣也是四十八個在裡面
[237:52] 超級無力好
[237:53] 所以那一袋一袋
[237:53] 如果你要一箱
[237:55] 然後你要一袋送給朋友
[237:56] 然後都很方便
[237:58] 這算是真的是
[237:59] 日本很經典
[238:00] 很經典的辦收禮的
[238:01] 然後他就是我們
[238:02] 因為我們這次都沒賣有麻糬
[238:03] 對
[238:04] 也是我們唯一款麻糬
[238:05] 目前唯一款麻糬 大幅大幅
[238:06] 就是大幅麻糬
[238:07] 很好吃
[238:08] 它有點小麻糬的感覺
[238:10] 然後超級無力好吃
[238:11] 一口吃又不會太膩
[238:12] 對 然後它不會很甜
[238:14] 然後裡面紅豆香很香
[238:16] 一般有的大幅
[238:17] 它又盒裝的嘛
[238:19] 那你拆開一盒
[238:20] 你其他如果不吃
[238:21] 它就會擋起嘛
[238:22] 就會濕濕的嘛
[238:23] 因為它沒有獨立包裝
[238:24] 沒有蛋黃酥
[238:25] 然後這個我覺得做的
[238:26] 蛋黃酥就買台灣的就好
[238:28] 我們也不能輸入蛋黃酥
[238:30] 沒有蛋黃酥
[238:31] 蛋黃不行對不對
[238:32] 不會有蛋黃酥
[238:32] 但是我們在日本
[238:34] 沒有蛋黃酥好不好
[238:35] 來
[238:35] 這個我先跟大家講
[238:37] 一袋裡面六包
[238:39] 所以你買這樣一箱
[238:40] 你說我有一袋
[238:42] 送給朋友什麼的
[238:43] 都可以好不好
[238:44] 都可以 送給同事
[238:45] 都可以
[238:45] 然後一袋裡面有八顆
[238:46] 所以總共裡面一箱
[238:47] 會有四十八顆
[238:49] 關鍵是包打A45
[238:50] 好 那到時候
[238:51] 結單的時候可以去選紅豆
[238:53] 北海道紅豆口味
[238:54] 或者是我們的路俄島的這個紅玉
[238:56] 好不好
[238:57] 紅玉口味
[238:58] 紅玉地瓜
[238:58] 來 今天呢
[238:59] 給大家多少錢
[239:01] 這個一箱
[239:02] 我這一包
[239:03] 如果我今天去外面買
[239:05] 應該要
[239:07] 兩百
[239:07] 兩百九三百九
[239:09] 要吧 日本的
[239:10] 日本啊
[239:10] 差不多兩百九三百九
[239:11] 你會買吧
[239:12] 我會買
[239:12] 會啊
[239:13] 這個我吃現場吃吃
[239:14] 我一定跟你講
[239:14] 我一定買
[239:15] 我一定買個兩三包回去啦
[239:17] 來 馬上接著我開家
[239:18] 來 今天喔
[239:19] 我們這樣子一箱喔
[239:20] 六包 好不好
[239:21] 今天給大家
[239:23] 一千塊也不用
[239:24] 關鍵是A45
[239:25] 好不好
[239:26] 你如果有兩種口味
[239:27] 你就喜歡吃大幅
[239:28] 麻糬的
[239:29] 你可以A45加
[239:30] 如果有兩種口味
[239:30] 都帶回家
[239:31] 來 今天呢
[239:32] 也不用九九九
[239:34] 也不用八八八
[239:35] 今天給大家
[239:36] 三成價七九九
[239:37] 現在價六九九
[239:39] 好不好
[239:39] 六九九
[239:40] 來 然後如果你今天加二的朋友
[239:42] 好不好
[239:43] 加二朋友再開個組合價
[239:44] 加二以上一盒
[239:45] 六百五十塊
[239:46] 啊 不行啦
[239:48] 加二以上一盒
